Name,Label,Type,Target,NewCapacity,CapEx,Source,Status,EarliestYear,Group,AssetLife,Note
ECGG_3A_SWQP,SWQP compression,Pipeline,SWQP_Rev,58,141000000,GSOO,Committed,2028.0,,25.0,APA ECGG Stage 3A compressor on the SWQP. FID Feb 2026; winter 2028. CapEx is GARY's pro-rata split of the published $260m across 3A's three legs by capacity.
ECGG_3A_MSP,MSP compression,Pipeline,MSP,10,24000000,GSOO,Committed,2028.0,,25.0,APA ECGG Stage 3A compressor on the MSP mainline. Same $260m pro-rata split.
ECGG_3A_Culcairn,Culcairn lateral,Pipeline,VNI_Rev,39,95000000,GSOO,Committed,2028.0,,25.0,APA ECGG Stage 3A Young-Culcairn lateral. AEMO notes the 39 TJ/d is shared with southern NSW and Uranquinty so not all reaches the VIC DTS. Same $260m pro-rata split.
MSEP_Conversion,Ethane line conversion,Pipeline,MSP,25,25000000,GSOO,Committed,2026.0,,50.0,Moomba-Sydney Ethane Pipeline converted to natural gas. NSW approval Oct 2025; commissioned pre-winter 2026. APA: total Moomba-Sydney southbound 565 -> 590 TJ/d. The MSP arc carries the pre-conversion 565 so this project is not double-counted; the 20 TJ/d figure APA also quotes is for delivery to Victoria rather than Sydney.
EGP_Reversal,EGP reversal,Pipeline,EGP_Rev,200,220000000,GSOO,Committed,2026.0,,25.0,Jemena EGP reversal stage 1 - bi-directional flow up to 200 TJ/d SOUTH toward Victoria; pre-winter 2026. CapEx not public: GARY's own at the MSEP conversion unit rate ($1.11m/TJ-d).
SWP_Compression,SWP compression,Pipeline,SWP,45,213000000,GSOO,Committed,2029.0,SWP_Expansion,25.0,APA rule 80 - greenfield compressors at Irrewillipe and Stonehaven plus Winchelsea modification. Iona injection 570->615 TJ/d. AER approved $213m (+$31m early works) 2026; winter 2029.
SWP_Looping,SWP looping,Pipeline,SWP,45,340000000,Market,Proposed,2029.0,SWP_Expansion,50.0,APA's alternative to SWP_Compression - 88 km of SWP looping plus Winchelsea modification. Same 615 TJ/d but more linepack. APA says compression is ~40% cheaper than partial looping; GARY's CapEx = $213m/0.625.
Bulloo_Interlink,Bulloo Interlink,Pipeline,Bulloo,800,220000000,Market,Pre-FID,2029.0,,50.0,APA ECGG Stage 3B - new SWQP-to-MSP link shortening the north-south corridor by ~240 km. 800 TJ/d N->S. Line pipe purchased; targeted end 2028 subject to FID.
ECGG_VTS_Expansion,VTS expansion,Pipeline,VNI_Rev,116,226000000,Market,Proposed,2029.0,,25.0,APA ECGG Stage 5 - MSP+VTS to 350 TJ/d Young to Wollert; APA calls this an ~84% increase which implies a current corridor near 190 TJ/d. Sized to land GARY's corridor on APA's stated 350 endpoint: 350 less the 195 base (2026 GSOO VNI 195 South) less ECGG_3A_Culcairn's 39. Winter 2029; not committed. CapEx not public: GARY's own at the ECGG Stage 3A unit rate ($2.43m/TJ-d).
Viva_Geelong_FSRU,Geelong FSRU (Viva),Terminal,Geelong,750,1000000000,GSOO,Pre-FID,2029.0,Geelong_FSRU,20.0,"Viva Energy Gas Terminal at Corio Bay. EPBC approval Apr 2026; FID H2 2026; operational winter 2029. 750 TJ/d peak / >120 PJ/yr. AEMO: a Geelong terminal lifts total SWP capacity to ~770 TJ/d. CapEx is GARY's own. SOURCE: named on AEMO's G26 Processing sheet as 'LNG Regasification Terminal - Viva Energy Gas Terminal', status Proposed."
Vopak_Victoria_FSRU,Geelong FSRU (Vopak),Terminal,Geelong,750,1000000000,GSOO,Pre-FID,2029.0,Geelong_FSRU,20.0,"Vopak Victoria Energy Terminal in Port Phillip Bay. FSRU secured Sep 2025; EES in progress; targeting pre-winter 2029. Capacity and CapEx are GARY's own - AEMO states the two Geelong terminals behave similarly for the DTS. SOURCE: named on AEMO's G26 Processing sheet as 'LNG Regasification Terminal - Vopak Victoria LNG', status Proposed."
Golden_Beach,Golden Beach,Terminal,Gippsland,375,0,GSOO,Pre-FID,2029.0,,,"GB Energy Golden Beach Energy Storage - production 125 TJ/d late 2028 then supply 300 TJ/d early 2029 rising to 375 TJ/d late 2029; 42 PJ store. FID targeted H2 2026. Targets the Gippsland NODE (the undeveloped supply row there): a Target naming a node absent from nodes.csv puts the production variable in no balance constraint, so the project built and delivered nothing. CAPITAL SITS IN THE COMMODITY COST, NOT HERE: since 2 Sep 2026 the 2C supply row carries AEMO's FULL 2C cost ($/GJ -- AEMO says it includes operating cost, capital, royalty, tax and a return on capital), so this row's CapEx is 0 and must stay 0; a lump here as well would charge the development capital twice. build_field_developments.py --capex reports the old split for reference only."
Outer_Harbor_LNG,Outer Harbor FSRU,Terminal,Adelaide,422,900000000,GSOO,Pre-FID,2028.0,,20.0,"AG&P Outer Harbor FSRU at Port Adelaide - 400 mmscfd (~422 TJ/d). ~90 of its ~110 PJ/yr is aimed at Victoria (60 PJ to Iona + 30 PJ to the Port Campbell pipeline) via SEA Gas reverse flow. Commissioning late 2027 for winter 2028. CapEx is GARY's own. SOURCE: named on AEMO's G26 Processing sheet as 'LNG Regasification Terminal - Outer Harbor LNG Project', status Proposed."
SEA_Gas_Reversal,SEA Gas reversal,Pipeline,SEA_Gas_Rev,250,150000000,GSOO,Proposed,2028.0,,25.0,"SEA Gas compression and reverse-flow capacity on the Port Campbell-Adelaide pipeline to move Outer Harbor gas east toward Victoria. Capacity mirrors the forward SEA_Gas arc; CapEx is GARY's own. SOURCE CORRECTED FROM Market TO GSOO: AEMO's 2025 Gas Infrastructure Options Report, Appendix A2, carries ""Port Campbell to Adelaide pipeline reversal -- Reversal of PCA pipeline"" with its Source column reading GSOO and its capacity published as ""PCA reversal: 250 TJ/d"" -- the same 250 TJ/d this row already carried on GARY's own mirror-the-forward-arc reasoning. So the capacity is AEMO's after all, not GARY's, and the row belongs in a GSOO-only run."
Port_Kembla_Terminal,Port Kembla FSRU,Terminal,Port_Kembla,500,250000000,GSOO,Built,2027.0,,20.0,"Squadron Energy PKET. Mechanically complete but not operating - contracted FSRU redeployed to Egypt; start no earlier than 2027. SOURCE: named on AEMO's G26 Processing sheet as 'LNG Regasification Terminal - Port Kembla', status Proposed."
Beetaloo_Dev,Beetaloo development,Terminal,Beetaloo,450,0,GSOO,Proposed,,,,"Beetaloo development. Southbound volume is corridor-limited to 65 TJ/d: the NGP is 106 TJ/d per the 2026 GSOO but it feeds the Carpentaria Pipeline whose southbound Mt Isa-Ballera leg is only 65 TJ/d and the GSOO says no CGP expansion is planned. The relieving candidate is the NEAP option which bypasses that corridor. Note Beetaloo_Pipe is the real Sturt Plateau Pipeline at 40 TJ/d so without NEAP this field cannot deliver more than 40 TJ/d anywhere. NO CAPEX, DELIBERATELY: AEMO publishes no 2P cost for the Beetaloo at all, only the $9.15/GJ 2C figure, so there is nothing to split the capital out with. The supply row therefore carries AEMO's FULL cost and this row carries no derived capital -- the capital is inside the commodity cost. Inventing an operating basis for it (by scaling the full cost on other basins' 2P/2C ratios, say) would put a GARY number where AEMO has published none."
